date,close_price,signal,position,cash,portfolio_value,unrealized_pnl,realized_pnl,volatility_percentile,asset_volatility,drawdown_breach,days_since_signal,returns,cumulative_returns,drawdown
2022-02-10,310.4,0,0.0,1018800.3891389356,1013312.2238196122,2866.441556967655,2866.441556967655,46.51162790697674,0.5,False,0,-0.0025859953591605978,0.013312223819611946,-0.010825408776940574
2022-02-11,308.2,0,0.0,1018800.3891389356,1018800.3891389356,0.0,0.0,46.51162790697674,0.5,False,1,0.005416065443912377,0.018800389138935447,-0.005467974455421193
2022-02-23,308.2,0,0.0,1018800.3891389356,1018800.3891389356,0.0,0.0,46.51162790697674,0.5,False,2,0.0,0.018800389138935447,-0.005467974455421193
2022-05-11,343.4,1,76410.02918542018,1011155.5657189343,1018800.3891389356,0.0,0.0,1.1235955056179776,0.5,False,0,0.0,0.018800389138935447,-0.005467974455421193
2022-05-17,327.0,1,76410.02918542018,1011155.5657189343,1007506.397173096,-3649.1685458383495,0.0,1.1235955056179776,0.5,False,1,-0.011085578771112381,0.007506397173095758,-0.016492937564989592
2022-05-24,323.0,1,76410.02918542018,1011155.5657189343,1006616.3560643549,-4539.209654579412,0.0,1.1235955056179776,0.5,False,2,-0.000883409883290498,0.006616356064354623,-0.01736177742423065
2022-05-25,322.0,1,76410.02918542018,1011155.5657189343,1006393.8457871696,-4761.719931764677,0.0,1.1235955056179776,0.5,False,3,-0.0002210477465866001,0.006393845787169283,-0.017578987389040884
2022-06-10,319.2,-1,-67610.14936574288,1006636.4029751635,1005770.8170110509,-5384.748707883423,0.0,91.11111111111111,0.5,False,0,-0.0006190705345892056,0.005770817011050644,-0.018187175290509634
2022-06-14,329.0,-1,-67610.14936574288,1006636.4029751635,1004560.6527753382,-2075.750199825442,0.0,91.11111111111111,0.5,False,1,-0.0012032206694057024,0.004560652775337903,-0.019368512774687662
2022-06-17,327.0,-1,-67610.14936574288,1006636.4029751635,1004984.2752650984,-1652.1277100651482,0.0,91.11111111111111,0.5,False,2,0.0004216992658332419,0.004984275265098148,-0.018954981196471828
2022-06-22,281.0,-1,-67610.14936574288,1006636.4029751635,1014727.5925295851,8091.189554421609,0.0,91.11111111111111,0.5,False,3,0.009694994741998864,0.014727592529584888,-0.009443754897507428
2022-06-23,302.0,-1,-67610.14936574288,1006636.4029751635,1010279.5563871021,3643.153411938524,0.0,91.11111111111111,0.5,False,4,-0.004383478063698432,0.010279556387101874,-0.013785836468773738
2022-06-28,330.0,-1,-67610.14936574288,1006636.4029751635,1004348.841530458,-2287.5614447055887,0.0,91.11111111111111,0.5,False,5,-0.005870370056633822,0.004348841530457781,-0.019575278563795637
2022-07-18,292.0,0,0.0,1019155.3032650095,1012397.6688359035,5761.265860739993,5761.265860739993,60.43956043956044,0.5,False,0,0.008013975794685546,0.01239766883590332,-0.01171817857769457
2022-07-29,329.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,60.43956043956044,0.5,False,1,0.006674881459255211,0.01915530326500936,-0.0051215145713638015
2022-08-02,329.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,2,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-09,329.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,3,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-17,302.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,4,0.0,0.01915530326500936,-0.0051215145713638015
